sample	n	low_counts	low_genes	high_mt	doublet	removed	kept	pct_removed
Sample-17	3809	75	73	0	3	80	3729	2.1
Sample-19	3071	26	36	49	30	106	2965	3.5
Sample-22	2874	149	154	13	3	160	2714	5.6
Sample-27	3774	77	102	82	102	251	3523	6.7
Sample-33	2696	21	28	50	38	106	2590	3.9
Sample-37	3892	0	1	22	55	77	3815	2.0
Sample-43	4848	86	90	19	3	102	4746	2.1
Sample-45	4737	97	98	3	2	104	4633	2.2
Sample-46	3461	73	81	7	11	91	3370	2.6
Sample-47	3033	0	2	2	31	35	2998	1.2
Sample-50	2674	25	35	25	12	56	2618	2.1
Sample-52	2924	13	20	7	3	30	2894	1.0
Sample-58	2829	67	70	1	7	79	2750	2.8
Sample-66	2869	39	52	7	15	69	2800	2.4
Sample-82	2569	92	104	55	42	177	2392	6.9
Sample-90	2629	67	77	34	29	122	2507	4.6
Sample-96	4484	132	130	13	55	181	4303	4.0
Sample-100	4597	64	64	28	38	112	4485	2.4
